Document ID,Year,Source,DOI,Title,Abstract,Abstract word count,Author keywords,Index keywords,Topic probability
7,2025,JMIR Aging,10.2196/69373,Representations of Older Adults’ Digital Literacy in Canadian News Media: Critical Discourse Analysis Using Unified Theory of Acceptance and Use of Technology 2,"Background: The transition of social and health services to digital platforms has significant implications for the inclusion and well-being of older adults. Digital literacy is a key determinant of health and equity, particularly as services shift to digital platforms. For older adults, this is crucial for accessing essential services and information, aiding in emergency resource navigation and information access. Objective: This study examines how Canadian news media portray older adults’ digital literacy, using the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) framework to guide the analysis. Methods: News media articles from Canada, published from May 4, 2023, to July 4, 2024, were analyzed. Articles were identified through database searches and manual reviews, with inclusion criteria focusing on mentions of older adults and digital literacy. Critical discourse analysis was conducted using UTAUT2 factors to interpret the media narratives. Results: Of the 103 articles reviewed, 54 met the inclusion criteria. Four key themes emerged: (1) Performance and effort expectancy: media frequently depicted older adults as needing significant help with digital technologies, indicating potential digital ageism. (2) Social influence: fearmongering narratives suggest insufficient technological skills could result in social exclusion and limited access to essential services. (3) Facilitating conditions: articles highlighted older adults’ susceptibility to digital scams and fraud, reinforcing digital ageism. (4) Hedonic motivation: media portrayals emphasized active aging, illustrating how digital tools, such as home security systems, can enhance independence and quality of life. Conclusions: Many media narratives on older adults’ digital literacy perpetuate digital ageism. The study highlights how negative portrayals of older adults’ digital skills and their exclusion from digital spaces underscore the need for more inclusive media representations. Findings suggest that media outlets could play a crucial role in shifting to more supportive portrayals of older adults’ engagement with technology. Improving media portrayals can enhance digital engagement and preparedness among aging populations, contributing to better overall quality of life. © Alixe Ménard, Alexandra Maharaj, Sophie Harb, Sarah Fraser, Tracey O'Sullivan.",325,digital divide; digital technology; disaster planning; media representation; older adults,,0.05728480160787618
13,2025,British Journal of Sociology,10.1111/1468-4446.13220,The Last of England: Banal Nationalism and Communities of Loss in British Pub Closure Media Narratives,"While pubs have long been celebrated as a quintessential part of British culture, the ongoing and increasingly rapid closure of British pubs has raised concerns about the impacts of their loss on the wider cultural life and identity of the nation. The article explores how pub closures are narrated in British print news media through the analysis of a sample of news stories spanning 2000–2023. Time series analysis shows that pub closures have been a steady concern in UK print media, albeit with several notable peaks in coverage aligned to key events impacting the sector. Findings suggest that the causes of pub closure are presented as an economic issue, while the consequences of pub closures are typical framed in social and cultural terms. Using Billig's concept of ‘banal nationalism’, the article analyses a sub-set of this data to examine how the narratives used to explain pub closures make regular and emotive reference to the nation and associated concepts. Pub closures are therefore presented as a threat to the nation and a loss of national identity. These emotive narratives of loss, we argue, work to homogenise both the idealised pub and the wider national community in a manner which occludes the complexity of both. © 2025 The Author(s). The British Journal of Sociology published by John Wiley & Sons Ltd on behalf of London School of Economics and Political Science.",229,closure; community; loss; national identity; nationalism; pubs,England; Humans; Mass Media; Narration; Social Identification; United Kingdom; England; human; mass medium; social identity; United Kingdom; verbal communication,0.05543966506447353
28,2025,Scientific Reports,10.1038/s41598-025-14010-2,Discrepancies in media reporting of fatal road crashes and official data in India,"Road traffic crashes pose a significant global public health challenge, influenced by media representations that shape public perceptions and policymaking. This study examines discrepancies between media-reported and officially documented fatal crash data to understand these differences and their impact on road safety. Utilising statistical comparisons and qualitative content analysis, the research contrasts fatal road traffic crash (RTC) data from India’s Times of India (TOI) with official statistics from the Ministry of Road Transport and Highways (MORTH). Statistical analyses reveal that media reports disproportionately emphasise crashes involving younger victims and four-wheel vehicles, in contrast to official records identifying two-wheelers as the most affected road users. Additionally, visually dramatic crash types, such as head-on collisions and vehicle overturns, are significantly overrepresented in media coverage compared to their true frequency. Further content analysis of news articles illustrates inconsistent and often biased attribution of responsibility, frequently influenced by the victim’s road user category. Vulnerable groups, particularly pedestrians and cyclists, are disproportionately blamed, whereas occupants of larger vehicles receive more detailed coverage with lesser attribution of crash responsibility. Importantly, media narratives frequently deviate from the World Health Organisation’s recommendations, failing to highlight systemic and preventable aspects of RTCs. These findings highlight the critical need for media adherence to factual, balanced reporting guidelines to enhance public awareness and promote effective, evidence-based road safety interventions. © The Author(s) 2025.",222,Content analysis; Media reporting; Road safety; Road traffic crashes,"Accidents, Traffic; Adolescent; Adult; Female; Humans; India; Male; Mass Media; Middle Aged; Pedestrians; Young Adult; adult; article; awareness; content analysis; cyclist; evidence based practice; human; information processing; pedestrian; public health; road safety; safety procedure; traffic; victim; World Health Organization; adolescent; epidemiology; female; India; male; mass medium; middle aged; mortality; traffic accident; young adult",0.018620970008574475
40,2026,Journal of Literary and Cultural Disability Studies,10.3828/jlcds.2025.33,Challenging Anecdotal Associations Between Autism and Violence through Elizabeth Moon’s The Speed of Dark,"Around the millennium, disability scholars began to comment on the circulation of a stigmatizing characterization of people on the autistic spectrum in the news media.1 These reports, emerging after acts of mass violence, drew unsubstantiated connections between individuals seen or diagnosed as autistic and an aura of dangerousness. This article first explores how ideas of volatility have been associated with autistic identity largely through narratives around shootings. It then turns to literature to analyse how Elizabeth Moon’s 2003 novel The Speed of Dark explores the impact of this troubling pairing and resists the association of autistic identity and violence. © 2026 Liverpool University Press. All rights reserved.",107,,,0.03125464698080153
43,2025,International Journal of Press/Politics,10.1177/19401612241257872,The Consequences of Evidence- Versus Non-Evidence-Based Understandings of the “Truth”: How Russian Speakers in Germany Negotiate Trust in Their Transnational News Environments,"Extant research on migrants’ media use and trust has delivered mixed evidence on whether, and in which ways, migrants stay loyal to their homeland news media and/or develop trust in host-society media, particularly when the narratives of the two types of media clash. To advance this strand of research, this study scrutinizes how an audience group with migration background, who lived the first part of their lives under authoritarian rule but then relocated to a democracy, negotiates trust in their multilingual, transnational news environments. Specifically, we conducted semi-structured interviews with forty-two Russian-speaking first-generation migrants living in Germany in 2021. As we find, distinct understandings of the concept of “truth” played a pivotal role in how our participants negotiated trust in their transnational news environments. We distinguish broadly two understandings of “truth”: (1) “truth” as a category grounded in factual evidence and (2) “truth” as a non-evidence based category grounded in values, emotions, or identities. Illustrative for the second understanding, some participants felt a strong moral obligation to believe Kremlin-sponsored media as they perceived these organizations as representing their homeland, independently of whether their news coverage was factually accurate or not. The two understandings of “truth” also affected how and where participants sought for what they considered the “truth.” In the “Discussion” section, we argue that particularly the non-evidence-based truth-understandings formulated by our participants, and the ensuing truth-seeking strategies are conducive to the reach and persuasive impact of Kremlin-sponsored content among Russian speakers living abroad. © The Author(s) 2024.",248,Germany; news trust; Russian speakers; transnational audiences; truth,,0.08335534679336291
46,2025,EPJ Data Science,10.1140/epjds/s13688-025-00567-5,Misinformation is not about bad facts: an analysis of the production and consumption of fringe content,"What if misinformation is not an information problem? To understand the role of news publishers in potentially unintentionally propagating misinformation, we examine how far-right and fringe online groups share and leverage established legacy news media articles to advance their narratives. Our findings suggest that online fringe ideologies spread through the use of content that is consensus-based and “factually correct”. We found that Australian news publishers with both moderate and far-right political leanings contain comparable levels of information completeness and quality; and furthermore, that far-right Twitter users often share from moderate sources. However, a stark difference emerges when we consider two additional factors: 1) the narrow topic selection of articles by far-right users, suggesting that they selectively share news articles that engage with their preexisting worldviews and specific topics of concern, and 2) the difference between moderate and far-right publishers when we examine the writing style of their articles. Furthermore, we can identify users prone to sharing misinformation based on their communication style. These findings have important implications for countering online misinformation, as they highlight the powerful role that personal biases towards specific topics and publishers’ writing styles have in amplifying fringe ideologies online. © The Author(s) 2025.",197,Linguistic style; Misinformation; Online social media,Communication styles; Information completeness; Information quality; Linguistic styles; Misinformation; News articles; News media; Online social medias; Production and consumption; Writing style; Social networking (online),0.0793648738223089
56,2025,Media and Communication,10.17645/mac.10550,Celebrity Suicides in China: How Social Media Shapes News Framing,"The proliferation of social media platforms has profoundly reshaped news reporting, particularly concerning sensitive events like suicide. This study investigates how Chinese news media framed the suicides of two high‐profile female celebrities, Sulli and Coco Lee, on the influential social media platform Weibo. It examines the dominant reporting frames and explores how Weibo’s unique interactive environment influenced the framing process. Computational thematic analysis was employed to investigate dominant themes from Weibo posts published by verified news media accounts, and three primary frames were identified: mental health, gossip, and nationalism. While the mental health frame marked a shift from traditional Chinese reporting, it often remained superficial and was intertwined with sensational elements. The gossip frame, which centres on personal scandals and conflicts, aligns with the problematic sensationalism often observed in suicide reporting. The nationalism frame positioned the suicides within contexts of cultural comparison and national pride. Findings indicate that social media affordance significantly shaped these frames, resulting in more sensational and dynamically evolving narratives. This has shifted traditional gatekeeping and agenda‐setting power, and potentially diminishes the quality and responsibility of reporting. This research highlights the complex interplay between journalistic norms, platform dynamics, and audience interaction in the digital news era, underscoring the need for updated approaches to responsible reporting on social media. © 2025 by the author(s).",216,audiences; gatekeeping; interactive framing; journalism; mental health; platform dynamics; social media; suicide reporting,,0.029787621790895988
73,2025,Communication Methods and Measures,10.1080/19312458.2025.2500329,The Extended Morality as Cooperation Dictionary (eMACD): A Crowd-Sourced Approach via the Moral Narrative Analyzer Platform,"What is the prevalence of moral themes in textual corpora? Most previous moral mining research has been informed by Moral Foundations Theory (MFT). Here, we develop and evaluate an alternative moral mining tool based on the theory of Morality as Cooperation (MAC), using crowd-sourced annotations and the web-based hybrid content annotation platform, the Moral Narrative Analyzer (MoNA). We compare the empirical performance of the extended Morality as Cooperation Dictionary (eMACD) with previous dictionaries, including the extended Moral Foundations Dictionary (eMFD), across ten validation analyses, encompassing diverse corpora that include news media, journal entries, presidential speeches, social media, and movies. We find that eMACD outperforms previous dictionaries in most cases. We conclude that eMACD is an important addition to the methodological toolkit of researchers examining moral content in textual data, and we provide eMACDscore–a Python-based moral mining tool–to facilitate future research. © 2025 The Author(s). Published with license by Taylor & Francis Group, LLC.",153,,,0.10027378562417143
83,2026,Journal of East Asian Cultures,10.38144/TKT.2026.3,Xingyun’s Buddhist Environmentalism in the Context of The Contemporary Discourse on Fangsheng 放生,"This paper aims to explore Xingyun’s 星雲 (1927–2023)1perspective within the contemporary discourse of fangsheng 放生 (literally ’life release’), a widely practiced Buddhist ritual in Taiwan. A primary focus of the study is to demonstrate Xingyun’s Buddhist environmental philosophy in context of the ritual, as well as his ideology of life protection (husheng 護生) being superior to fangsheng in terms of Buddhist environmentalism. Fangsheng refers to the popular Buddhist ritual of buying captured animals and releasing them at a designated ritual site with the purpose of earning spiritual merit. While it is a common religious practice in Chinese-speaking Buddhist communities, and in other East Asian countries, in recent decades fangsheng has received criticism for the dangers it might impose on ecosys-tems by the release of potentially non-native, invasive species. In turn, this criticism has created a discourse around its ecological impact as well as its religious legitimacy in Taiwanese Bud-dhism. To provide a solid foundation for this discussion, this paper first briefly introduces the history and development of the fangsheng ritual. After establishing the historical background of fangsheng practice, the discussion continues by examining its contemporary discourse, paying particular attention to the reasons why the ritual has been criticised for its ecologically negative impact. As the dialogue surrounding fangsheng is contemporary, the primary sources utilised for demonstrating the discourses include modern media and news articles as well as comments and speeches recorded from contemporary Buddhist figures of Taiwan. Analysing how different modern Buddhist leaders in Taiwan respond to criticism contextualised by doctrinal legitimisations, this paper establishes a spectrum of conservative, centrist, and reform narrative responses in the context of fangsheng ritual. Finally, Xingyun’s own perspective is placed within this spectrum, highlighting his role as a reformist and his nuanced approach to the relationship between husheng and fangsheng. © 2026, Eotvos Lorand Tudomanyegyetem. All rights reserved.",304,Buddhist animal release ritual (fangsheng 放生); Buddhist environmentalism; Buddhist reformism; discourse analysis; environmental philosophy; Taiwanese Buddhism; Xingyun,,0.052285232313872054
99,2025,PLOS ONE,10.1371/journal.pone.0328059,"Decoding community proximity discourse: A mixed-methods comparative analysis of online local and national newspapers in Romandy, Switzerland","This paper presents a mixed-method approach to analyzing news media, combining quantitative linguistic metrics with qualitative discourse frameworks. We first extract linguistic features such as quotations, readability levels, and lexical richness, then perform named entity recognition and topic modeling. To add depth, we apply Fairclough’s model of critical discourse analysis—highlighting social and cultural contexts—together with Goffman’s frame analysis of social behavior, enabling a systematic comparison of narrative strategies and community engagement. We provide new evidence on how local and national papers diverge not only in content, but also in temporal framing, participatory practices, and the construction of proximity. We validate this pipeline by comparing local and national newspapers in Romandy, Switzerland, a media landscape where local press agencies currently face intense economic pressures and widespread layoffs. Our findings reveal notable divergences in narrative construction and audience engagement: local outlets focus on fostering a sense of community and direct connection with readers, whereas national outlets employ more wide-ranging, sophisticated storytelling to appeal to a broader audience. By synthesizing quantitative and qualitative insights, our study moves beyond descriptive comparison to show how distinct editorial logics shape identity and democratic participation in a transforming media landscape. The study’s integrated analytical framework underscores the importance of a comprehensive, multilevel perspective on media strategies and audience dynamics, particularly in an era of rapid editorial and economic transformations. © 2025 Bros, Gatica-Perez. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",260,,Humans; Internet; Newspapers as Topic; Switzerland; Article; content analysis; decoding; education; health care organization; human; immigration; machine learning; public health; qualitative analysis; quantitative analysis; social behavior; social evolution; social exclusion; social media; social network; comparative study; Internet; publication; Switzerland,0.05959391412909979
